Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.0255338959307202e-07,0.2816961909431672,4.890145565301671e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.4992733342051505,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.386483937509352e-07,0.22545075514229254,4.342467129281347e-07,15,3.223115726053606e-07,10,2.3309665325560425,-1.435526094080852,7,0.49276338342305165,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4923886389948084e-07,0.5721767918024347,4.974679482153393e-07,418,3.9797435857227144e-07,3,2.288101644822493,1.4572125947661205,4,0.49723303389898627,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0481206061107358e-07,0.6134901170806264,4.470872453482186e-07,446,3.223115726053606e-07,10,2.3309665325560425,-1.435526094080852,7,0.49068911277791605,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.6906971539717373e-07,0.3154621310942649,4.342467129281347e-07,15,2.4613249575017456e-07,14,1.1860640996299536,1.752854552300734,0,0.3175561767465334,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.386483937509352e-07,0.5721767918024347,4.974679482153393e-07,418,3.9797435857227144e-07,3,2.288101644822493,-1.1991391748836415,4,0.49680716045081896,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.386936200958913e-07,2,3.5023979045956114e-07,12,1.523908858464822,1.4572125947661205,4,0.4987744008533788,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0255338959307202e-07,0.2816961909431672,4.819867728609399e-07,424,3.8558941828875195e-07,1,0.48481506983021017,-2.575585382805831,3,0.49767069798321695,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,4.890145565301671e-07,2,3.912116452241337e-07,12,2.5704477953479468,-2.2130208221241525,3,0.49981131410821744,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4923886389948084e-07,0.22545075514229254,4.342467129281347e-07,15,3.223115726053606e-07,10,2.120814556525278,0.6240686185553423,1,0.49474998782780755,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0246756033321368e-07,0.6449134001316972,5.123956513389803e-07,364,1.586965942374974e-07,3,2.3309665325560425,-1.435526094080852,7,0.48353654613150693,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.6906971539717373e-07,0.3154621310942649,4.342467129281347e-07,15,2.4613249575017456e-07,14,1.1860640996299536,1.752854552300734,0,0.3175561767465334,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0481206061107358e-07,0.6134901170806264,4.470872453482186e-07,446,3.223115726053606e-07,10,2.3309665325560425,-1.435526094080852,7,0.49068911277791605,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.3404183501365918e-07,0.12289675545483042,4.890145565301671e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.4997476225531891,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.03523644648161e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.49971258794475976,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0255338959307202e-07,0.2816961909431672,4.890145565301671e-07,2,3.912116452241337e-07,12,1.3062779603430204,-1.1991391748836415,4,0.499638795855575,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.386936200958913e-07,2,3.5023979045956114e-07,12,1.523908858464822,-2.5544943701726446,0,0.49878256062122733,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.386483937509352e-07,0.7416795394528862,5.877065314617711e-07,439,4.013184086630544e-07,3,2.288101644822493,1.4572125947661205,4,0.49572743113639045,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4684944377763846e-07,0.4864958713541271,5.584071969982813e-07,157,2.1098121798358262e-07,9,1.889540296060391,-1.9383687038293476,5,0.4834380431020682,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.3404183501365918e-07,0.12289675545483042,5.03523644648161e-07,2,3.912116452241337e-07,12,2.3309665325560425,-1.435526094080852,7,0.4998983678617856,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.386936200958913e-07,2,3.5023979045956114e-07,12,0.48481506983021017,-2.575585382805831,3,0.4987744008533788,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4923886389948084e-07,0.2816961909431672,4.890145565301671e-07,2,3.912116452241337e-07,12,1.3062779603430204,-2.5544943701726446,0,0.49966414058611014,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0255338959307202e-07,0.15268774416697248,4.342467129281347e-07,15,3.223115726053606e-07,10,2.3309665325560425,-1.435526094080852,7,0.4913937491277328,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
